id,bioregion_name
1,Bridgewater
2,Central Victorian Uplands
3,Dundas Tablelands
4,East Gippsland Lowlands
5,East Gippsland Uplands
6,Gippsland Plain
7,Glenelg Plain
8,Goldfields
9,Greater Grampians
10,Highlands- Fare East
11,Highlands - Northern Fall
12,Highlands - Southern Fall
13,Lowan Mallee
14,Monaro Tablelands
15,Murray Fans
16,Murray Mallee
17,Murray Scroll Belt
18,Northern Inland Slopes
19,Otway Plain
20,Otway Ranges
21,Robinvale Plain
22,Strzelecki Ranges
23,Victorian Alps
24,Victorian Riverina
25,Victorian Volcanic Plain
26,Warrnambool Plain
27,Wilsons Promontory
28,Wimmera
